"INSEE","NOMCLAIR","CP","NOMSIMPLE","REGION","DEPARTEMENT","POP","POParr"
"01375","Saint-Martin-le-Châtel","01310","ST MARTIN LE CHATEL","84","01",800,800
"01376","Saint-Maurice-de-Beynost","01700","ST MAURICE DE BEYNOST","84","01",3902.99999999999,3902
"01378","Saint-Maurice-de-Gourdans","01800","ST MAURICE DE GOURDANS","84","01",2469,2469
"01379","Saint-Maurice-de-Rémens","01500","ST MAURICE DE REMENS","84","01",734,734
"01380","Saint-Nizier-le-Bouchoux","01560","ST NIZIER LE BOUCHOUX","84","01",688,688
"01381","Saint-Nizier-le-Désert","01320","ST NIZIER LE DESERT","84","01",894,894
"01382","Sainte-Olive","01330","STE OLIVE","84","01",294,294
"01383","Saint-Paul-de-Varax","01240","ST PAUL DE VARAX","84","01",1475,1475
"01384","Saint-Rambert-en-Bugey","01230","ST RAMBERT EN BUGEY","84","01",2240,2240
"01385","Saint-Rémy","01310","ST REMY","84","01",975.999999999997,975
"01386","Saint-Sorlin-en-Bugey","01150","ST SORLIN EN BUGEY","84","01",1089,1089
"01387","Saint-Sulpice","01340","ST SULPICE","84","01",194,194
"01388","Saint-Trivier-de-Courtes","01560","ST TRIVIER DE COURTES","84","01",1091,1091
"01389","Saint-Trivier-sur-Moignans","01990","ST TRIVIER SUR MOIGNANS","84","01",1826,1826
"01390","Saint-Vulbas","01150","ST VULBAS","84","01",1068,1068
"01391","Salavre","01270","SALAVRE","84","01",289.999999999999,289
"01392","Samognat","01580","SAMOGNAT","84","01",677,677
"01393","Sandrans","01400","SANDRANS","84","01",508,508
"01396","Sault-Brénaz","01150","SAULT BRENAZ","84","01",1036,1036
"01397","Sauverny","01220","SAUVERNY","84","01",1059,1059
"01398","Savigneux","01480","SAVIGNEUX","84","01",1236,1236
"01399","Ségny","01170","SEGNY","84","01",1873,1873
"01400","Seillonnaz","01470","SEILLONNAZ","84","01",141,141
"01401","Sergy","01630","SERGY","84","01",2028.00000000001,2028
"01402","Sermoyer","01190","SERMOYER","84","01",675,675
"01403","Serrières-de-Briord","01470","SERRIERES DE BRIORD","84","01",1294,1294
"01404","Serrières-sur-Ain","01450","SERRIERES SUR AIN","84","01",125,125
"01405","Servas","01960","SERVAS","84","01",1199,1199
"01406","Servignat","01560","SERVIGNAT","84","01",169,169
"01407","Seyssel","01420","SEYSSEL","84","01",965,965
"01408","Simandre-sur-Suran","01250","SIMANDRE SUR SURAN","84","01",694,694
"01410","Sonthonnax-la-Montagne","01580","SONTHONNAX LA MONTAGNE","84","01",320,320
"01411","Souclin","01150","SOUCLIN","84","01",264,264
"01412","Sulignat","01400","SULIGNAT","84","01",557,557
"01413","Surjoux","01420","SURJOUX","84","01",74,74
"01414","Sutrieu","01260","SUTRIEU","84","01",223.000000000001,223
"01415","Talissieu","01510","TALISSIEU","84","01",436,436
"01416","Tenay","01230","TENAY","84","01",1067,1067
"01417","Thézillieu","01110","THEZILLIEU","84","01",307,307
"01418","Thil","01120","THIL","84","01",1021,1021
"01419","Thoiry","01710","THOIRY","84","01",6006,6006
"01420","Thoissey","01140","THOISSEY","84","01",1630,1630
"01421","Torcieu","01230","TORCIEU","84","01",719,719
"01422","Tossiat","01250","TOSSIAT","84","01",1353,1353
"01423","Toussieux","01600","TOUSSIEUX","84","01",809.999999999997,809
"01424","Tramoyes","01390","TRAMOYES","84","01",1657,1657
"01425","La Tranclière","01160","LA TRANCLIERE","84","01",298,298
"01426","Treffort-Cuisiat","01370","VAL REVERMONT","84","01",2287,2287
"01427","Trévoux","01600","TREVOUX","84","01",6708,6708
"01428","Valeins","01140","VALEINS","84","01",119,119
"01429","Vandeins","01660","VANDEINS","84","01",671,671
"01430","Varambon","01160","VARAMBON","84","01",527,527
"01431","Vaux-en-Bugey","01150","VAUX EN BUGEY","84","01",1215,1215
"01432","Verjon","01270","VERJON","84","01",259,259
"01433","Vernoux","01560","VERNOUX","84","01",322,322
"01434","Versailleux","01330","VERSAILLEUX","84","01",375,375
